Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes,PIB_2010,PIB_2019,PIB_per_capita_2010,PIB_per_capita_2019,IDH_1991,IDH_2000,IDH_2010
Nova Palma,6345,6519,Restinga Seca,Centro Ocidental,112181.0,301496.48,17680.23,46298.6,0.51,0.659,0.744
Lagoão,6185,6469,Soledade,Noroeste,53269.0,113718.1,8612.55,17625.25,0.296,0.476,0.643
Cambará do Sul,6545,6383,Vacaria,Nordeste,105716.0,178808.83,16152.21,27804.2,0.476,0.564,0.697
Santa Maria do Herval,6053,6382,Gramado-Canela,Metropolitana,123943.0,207189.35,20476.37,32726.17,0.401,0.598,0.676
Progresso,6161,6235,Lajeado-Estrela,Centro Oriental,68682.0,130850.44,11147.87,20956.19,0.405,0.535,0.683
Barão,5742,6232,Montenegro,Metropolitana,111632.0,257317.29,19441.34,41697.83,0.456,0.622,0.748
Lindolfo Collor,5229,6193,Gramado-Canela,Metropolitana,158709.0,314663.34,30351.65,51976.11,0.427,0.54,0.712
Aratiba,6568,6145,Erechim,Noroeste,1091182.0,1004171.23,166136.14,161053.93,0.455,0.615,0.772
Bossoroca,6887,6135,Santo Ângelo,Noroeste,139996.0,324342.18,20327.56,51655.07,0.457,0.586,0.692
Cândido Godói,6535,6106,Santa Rosa,Noroeste,125680.0,242759.86,19231.89,39167.45,0.491,0.647,0.728
Independência,6618,6054,Santa Rosa,Noroeste,103774.0,280820.51,15680.57,45536.0,0.465,0.601,0.693
Vale Real,5121,6046,Montenegro,Metropolitana,58801.0,149377.43,11482.24,25262.54,0.451,0.604,0.737
Cerrito,6404,6005,Pelotas,Sudeste,52861.0,107555.3,8254.44,17658.07,0.415,0.574,0.649
Anta Gorda,6073,5941,Guaporé,Nordeste,89139.0,212258.18,14677.96,35488.74,0.486,0.642,0.74
Estação,6011,5924,Erechim,Noroeste,106867.0,284537.39,17778.63,47757.2,0.534,0.662,0.753
Alpestre,8027,5885,Frederico Westphalen,Noroeste,83489.0,536480.91,10401.0,85727.21,0.346,0.524,0.671
Rodeio Bonito,5743,5868,Frederico Westphalen,Noroeste,73328.0,195157.8,12768.23,33263.64,0.496,0.642,0.732
Araricá,4868,5840,Porto Alegre,Metropolitana,74628.0,193348.52,15330.39,33932.7,0.414,0.565,0.679
Passa-Sete,5159,5790,Santa Cruz do Sul,Centro Oriental,,,,,,,
Trindade do Sul,5802,5781,Frederico Westphalen,Noroeste,75700.0,210791.69,13081.02,36330.87,0.378,0.561,0.687
Picada Café,5182,5780,Gramado-Canela,Metropolitana,238961.0,326941.63,46113.72,56938.63,0.52,0.653,0.758
Alecrim,7045,5710,Santa Rosa,Noroeste,58429.0,118024.79,8293.73,19836.1,0.425,0.548,0.672
São Paulo das Missões,6367,5654,Cerro Largo,Noroeste,75343.0,161567.72,11833.38,27904.62,0.441,0.567,0.692
Sentinela do Sul,5197,5635,Camaquã,Metropolitana,47026.0,88503.39,9048.69,15857.98,0.375,0.56,0.671
Tucunduva,5901,5612,Santa Rosa,Noroeste,108793.0,224683.89,18436.29,39570.96,0.562,0.661,0.747
Itaara,5011,5573,Santa Maria,Centro Ocidental,50052.0,121755.63,9988.36,22141.41,0.45,0.607,0.76
Tiradentes do Sul,6461,5532,Três Passos,Noroeste,59616.0,137881.59,9227.0,24172.79,0.392,0.551,0.689
Chuvisca,4944,5518,Camaquã,Metropolitana,56075.0,114679.83,11342.05,21076.98,0.296,0.481,0.616
Tavares,5351,5484,Osório,Metropolitana,54752.0,91209.35,10232.18,16641.01,0.426,0.543,0.656
Nova Esperança do Sul,4671,5465,Santa Maria,Centro Ocidental,87917.0,130233.46,18821.8,24333.61,0.526,0.593,0.735
Gaurama,5862,5447,Erechim,Noroeste,98412.0,235797.31,16788.14,42608.84,0.498,0.662,0.738
Campinas do Sul,5509,5422,Erechim,Noroeste,105987.0,234089.81,19238.94,42920.76,0.528,0.665,0.76
Machadinho,5515,5411,Sananduva,Noroeste,74352.0,182901.66,13481.8,33590.76,0.454,0.571,0.692
São Martinho,5773,5336,Três Passos,Noroeste,94956.0,248926.46,16448.31,45876.61,0.47,0.638,0.726
Campina das Missões,6117,5325,Cerro Largo,Noroeste,68468.0,163029.42,11193.03,29782.5,0.515,0.607,0.738
Barracão,5355,5237,Sananduva,Noroeste,109024.0,208681.77,20359.27,39560.53,0.439,0.566,0.71
Sertão,6294,5220,Passo Fundo,Noroeste,129825.0,300642.97,20626.72,55520.4,0.495,0.684,0.751
São Nicolau,5727,5153,Santo Ângelo,Noroeste,60154.0,165033.39,10503.6,31345.37,0.393,0.517,0.645
Brochier,4677,5132,Montenegro,Metropolitana,53512.0,91523.9,11441.55,18037.82,0.471,0.566,0.699
Selbach,4929,5114,Não-Me-Toque,Noroeste,118424.0,232444.7,24026.07,45577.39,0.57,0.741,0.777
Liberato Salzano,5780,5087,Frederico Westphalen,Noroeste,56213.0,141939.38,9725.46,27196.66,0.363,0.521,0.685
Cacique Doble,4865,5083,Sananduva,Noroeste,59115.0,116287.94,12151.08,22959.12,0.424,0.576,0.662
Rondinha,5520,5033,Frederico Westphalen,Noroeste,85923.0,195427.01,15565.71,38094.93,0.494,0.65,0.764
Tupandi,3919,5019,Montenegro,Metropolitana,183648.0,498962.87,46860.87,102772.99,0.405,0.654,0.718
Aceguá,4394,4981,Campanha Meridional,Sudoeste,104476.0,252048.48,23776.87,51427.97,0.509,0.621,0.687
Harmonia,4254,4967,Montenegro,Metropolitana,64604.0,188532.06,15186.7,38744.77,0.541,0.663,0.749
Muçum,4791,4967,Lajeado-Estrela,Centro Oriental,187455.0,262853.8,39126.49,53058.9,0.549,0.641,0.746
Pinheirinho do Vale,4503,4926,Frederico Westphalen,Noroeste,44923.0,98658.21,9976.23,20254.2,0.375,0.53,0.71
São José do Hortêncio,4094,4924,Montenegro,Metropolitana,77234.0,127885.16,18865.22,26620.56,0.481,0.624,0.707
Miraguaí,4855,4899,Três Passos,Noroeste,55126.0,133820.24,11354.4,27171.62,0.412,0.584,0.725
Nova Araçá,4003,4890,Guaporé,Nordeste,139157.0,244027.74,34763.08,51277.1,0.58,0.732,0.785
Tabaí,4131,4816,Lajeado-Estrela,Centro Oriental,46205.0,102620.47,11184.83,21746.23,0.379,0.602,0.701
Caibaté,4954,4802,Cerro Largo,Noroeste,69305.0,183452.87,13989.61,37856.56,0.483,0.614,0.719
Capivari do Sul,3890,4793,Osório,Metropolitana,129264.0,212050.43,33229.71,45504.38,0.511,0.658,0.766
Erval Grande,5167,4780,Erechim,Noroeste,52431.0,109455.16,10147.2,22526.27,0.338,0.56,0.681
Mata,5111,4760,Santa Maria,Centro Ocidental,50652.0,116014.19,9910.38,24054.36,0.431,0.551,0.656
David Canabarro,4683,4732,Passo Fundo,Noroeste,72400.0,142913.12,15460.17,30150.45,0.499,0.629,0.762
Cerro Branco,4454,4720,Cachoeira do Sul,Centro Oriental,44613.0,75643.97,10016.39,16125.34,0.42,0.544,0.661
Humaitá,4919,4712,Três Passos,Noroeste,79617.0,164722.08,16185.52,34590.95,0.538,0.64,0.738
Riozinho,4327,4698,Gramado-Canela,Metropolitana,72344.0,130204.09,16719.17,27982.83,0.42,0.568,0.661
Ciríaco,4922,4693,Passo Fundo,Noroeste,78476.0,151032.69,15943.89,31816.45,0.446,0.595,0.719
Ibiaçá,4710,4690,Sananduva,Noroeste,99491.0,234068.64,21123.4,49706.65,0.484,0.677,0.739
Fazenda Vilanova,3697,4680,Lajeado-Estrela,Centro Oriental,117144.0,106462.04,31686.24,23486.0,0.429,0.548,0.698
Caiçara,5071,4659,Frederico Westphalen,Noroeste,51634.0,111997.74,10182.24,23613.27,0.471,0.612,0.699
Viadutos,5311,4628,Erechim,Noroeste,58802.0,148940.25,11071.66,31316.29,0.417,0.567,0.702
Mato Leitão,3869,4627,Santa Cruz do Sul,Centro Oriental,95302.0,170671.78,24632.33,37801.06,0.472,0.623,0.746
São João da Urtiga,4726,4625,Sananduva,Noroeste,61366.0,134737.23,12984.84,28932.19,0.428,0.572,0.694
Tunas,4395,4585,Soledade,Noroeste,41433.0,80847.31,9427.38,17694.75,0.319,0.484,0.657
Maçambará,4742,4539,Campanha Ocidental,Sudoeste,124070.0,284109.01,26164.05,61937.87,0.403,0.562,0.684
Vicente Dutra,5285,4530,Frederico Westphalen,Noroeste,46112.0,101317.8,8725.0,21695.46,0.358,0.489,0.638
Porto Lucena,5421,4514,Santa Rosa,Noroeste,53950.0,107581.86,9952.06,22997.4,0.437,0.578,0.693
Ibarama,4371,4393,Santa Cruz do Sul,Centro Oriental,45653.0,93934.48,10444.54,21319.67,0.369,0.528,0.652
Doutor Maurício Cardoso,5313,4380,Três Passos,Noroeste,87693.0,189360.67,16505.37,41626.88,0.482,0.65,0.706
Gramado Xavier,3970,4378,Santa Cruz do Sul,Centro Oriental,39746.0,87530.35,10011.56,20238.23,0.356,0.46,0.634
Vila Maria,4221,4368,Passo Fundo,Noroeste,113769.0,223200.53,26952.98,51216.28,0.464,0.662,0.761
Pinhal Grande,4471,4309,Santiago,Centro Ocidental,338627.0,760522.5,75738.53,174832.76,0.405,0.566,0.678
Vila Nova do Sul,4221,4274,Santa Maria,Centro Ocidental,46748.0,118499.3,11075.03,27686.75,0.379,0.565,0.662
Campo Novo,5459,4273,Três Passos,Noroeste,94139.0,230863.83,17244.76,51486.14,0.477,0.568,0.703
Maximiliano de Almeida,4907,4254,Sananduva,Noroeste,58587.0,110336.56,11939.58,25208.26,0.445,0.562,0.699
Fortaleza dos Valos,4577,4252,Cruz Alta,Noroeste,113383.0,314257.99,24772.34,72744.9,0.535,0.658,0.756
Novo Cabrais,3855,4246,Cachoeira do Sul,Centro Oriental,44736.0,94434.71,11604.75,22505.89,0.415,0.538,0.688
Marcelino Ramos,5134,4239,Erechim,Noroeste,58725.0,133230.77,11438.46,30265.96,0.478,0.631,0.724
Barra do Quaraí,4016,4238,Campanha Ocidental,Sudoeste,113516.0,171383.09,28265.96,40660.28,0.479,0.549,0.662
Três Palmeiras,4381,4232,Frederico Westphalen,Noroeste,64836.0,146281.96,14799.3,34250.05,0.388,0.594,0.703
Novo Barreiro,3978,4185,Carazinho,Noroeste,42423.0,98508.87,10664.52,23657.27,0.368,0.552,0.706
Ilópolis,4098,4054,Guaporé,Nordeste,61038.0,111995.96,14894.64,27463.45,0.471,0.613,0.73
Ibirapuitã,4061,3988,Soledade,Noroeste,51996.0,138430.03,12803.84,34495.4,0.417,0.527,0.638
Marques de Souza,4068,3981,Lajeado-Estrela,Centro Oriental,45269.0,97710.51,11128.11,24372.79,0.482,0.627,0.687
Pontão,3857,3898,Passo Fundo,Noroeste,110778.0,261272.91,28721.34,66924.41,0.373,0.585,0.725
Mariana Pimentel,3768,3892,Porto Alegre,Metropolitana,40072.0,80815.46,10634.78,20801.92,0.449,0.604,0.701
Pareci Novo,3511,3885,Montenegro,Metropolitana,49842.0,100308.69,14196.03,26142.48,0.478,0.66,0.749
São Pedro da Serra,3317,3881,Montenegro,Metropolitana,33053.0,82543.71,9964.73,21716.31,0.546,0.639,0.739
Putinga,4147,3861,Guaporé,Nordeste,53495.0,100933.7,12899.74,25754.96,0.444,0.577,0.715
Pejuçara,3973,3840,Ijuí,Noroeste,118717.0,242019.77,29880.98,62472.84,0.542,0.65,0.741
Cotiporã,3917,3824,Caxias do Sul,Nordeste,59293.0,157403.0,15137.25,40852.06,0.505,0.645,0.741
Quinze de Novembro,3653,3810,Cruz Alta,Noroeste,73118.0,157132.76,20015.84,41394.3,0.477,0.657,0.756
Capão do Cipó,3107,3745,Santiago,Centro Ocidental,129685.0,320739.94,41739.74,87849.89,0.383,0.561,0.672
Nova Roma do Sul,3347,3743,Caxias do Sul,Nordeste,65324.0,179724.29,19517.32,48718.97,0.533,0.677,0.741
Água Santa,3726,3738,Passo Fundo,Noroeste,100548.0,324140.44,26985.47,86483.57,0.448,0.63,0.75
Jaboticaba,4111,3738,Carazinho,Noroeste,56778.0,99686.11,13811.23,26164.33,0.414,0.51,0.658
Paim Filho,4243,3731,Sananduva,Noroeste,65457.0,123315.91,15427.14,32214.19,0.465,0.606,0.706
Nova Alvorada,3177,3698,Guaporé,Nordeste,70145.0,171529.77,22078.99,47318.56,0.455,0.566,0.74
Chiapetta,4044,3684,Ijuí,Noroeste,87422.0,203792.2,21617.79,54257.77,0.496,0.606,0.732
Estrela Velha,3628,3646,Santa Cruz do Sul,Centro Oriental,64587.0,133777.57,17802.32,36601.25,0.374,0.535,0.679
Jaquirana,4177,3611,Vacaria,Nordeste,39915.0,69997.13,9555.86,18836.69,0.363,0.47,0.614
Severiano de Almeida,3842,3607,Erechim,Noroeste,51093.0,107143.81,13298.51,29298.28,0.451,0.633,0.752
São José dos Ausentes,3290,3559,Vacaria,Nordeste,60491.0,116531.29,18386.26,33039.78,0.42,0.512,0.663
Arambaré,3693,3544,Camaquã,Metropolitana,66994.0,137617.22,18140.69,38429.83,0.348,0.56,0.691
Jacutinga,3630,3532,Erechim,Noroeste,68575.0,146256.89,18891.08,41071.86,0.508,0.62,0.726
Vale Verde,3253,3531,São Jerônimo,Metropolitana,40318.0,91130.17,12394.14,26059.53,0.403,0.549,0.646
Áurea,3665,3517,Erechim,Noroeste,47837.0,110150.91,13052.39,30993.5,0.408,0.582,0.707
Jari,3575,3472,Santiago,Centro Ocidental,74746.0,200188.12,20907.86,57147.62,0.273,0.516,0.631
Itacurubi,3441,3456,Santiago,Centro Ocidental,45254.0,100576.33,13151.27,29026.36,0.42,0.539,0.657
Dois Lajeados,3280,3410,Guaporé,Nordeste,56792.0,108556.04,17314.54,31928.25,0.513,0.694,0.757
Turuçu,3522,3408,Pelotas,Sudeste,42963.0,104929.69,12198.42,30520.56,0.352,0.528,0.629
Vila Flores,3207,3407,Caxias do Sul,Nordeste,87574.0,219572.62,27307.22,64866.36,0.563,0.621,0.742
Campestre da Serra,3247,3402,Vacaria,Nordeste,62159.0,153113.15,19143.36,45192.78,0.436,0.622,0.706
Nova Bréscia,3184,3345,Lajeado-Estrela,Centro Oriental,57241.0,119945.44,17977.76,36019.65,0.553,0.695,0.778
Esmeralda,3169,3291,Vacaria,Nordeste,93011.0,212061.79,29350.11,64613.59,0.478,0.538,0.68
Alegria,4301,3287,Ijuí,Noroeste,46637.0,110903.99,10843.38,32016.16,0.412,0.578,0.695
Campos Borges,3494,3272,Cruz Alta,Noroeste,51422.0,89035.0,14717.23,26817.77,0.428,0.56,0.708
Braga,3702,3271,Três Passos,Noroeste,47540.0,94482.03,12841.61,28178.36,0.375,0.553,0.674
Barra do Guarita,3089,3266,Três Passos,Noroeste,22755.0,46500.42,7366.44,14316.63,0.41,0.559,0.734
Monte Alegre dos Campos,3098,3237,Vacaria,Nordeste,31182.0,71696.86,10065.21,22224.69,0.305,0.462,0.65
Caseiros,3007,3228,Passo Fundo,Noroeste,53011.0,128011.62,17629.36,39978.64,0.415,0.59,0.703
Charrua,3471,3228,Passo Fundo,Noroeste,47096.0,92132.37,13568.33,28097.7,0.375,0.501,0.62
São Martinho da Serra,3201,3228,Santa Maria,Centro Ocidental,72328.0,187056.44,22595.39,57840.58,0.369,0.541,0.652
São Valentim,3632,3220,Erechim,Noroeste,56726.0,95507.96,15618.34,28950.58,0.458,0.544,0.72
Novo Machado,3927,3191,Santa Rosa,Noroeste,56117.0,133442.0,14289.93,40157.09,0.447,0.56,0.663
Muitos Capões,2977,3184,Vacaria,Nordeste,227908.0,420324.54,76556.19,132929.96,0.397,0.534,0.702
Ernestina,3088,3171,Passo Fundo,Noroeste,68798.0,145623.09,22279.07,45966.89,0.475,0.642,0.716
Itatiba do Sul,4171,3143,Erechim,Noroeste,37035.0,66105.57,8879.28,19887.36,0.374,0.533,0.681
Mormaço,2749,3139,Soledade,Noroeste,46599.0,100501.55,16951.17,32577.49,0.408,0.584,0.714
Imigrante,3025,3103,Lajeado-Estrela,Centro Oriental,109756.0,263562.6,36283.02,84475.19,0.514,0.69,0.743
São Domingos do Sul,2926,3091,Passo Fundo,Noroeste,33589.0,71561.55,11479.33,23279.62,0.568,0.69,0.763
Colorado,3550,3088,Não-Me-Toque,Noroeste,86792.0,194488.44,24448.47,61256.2,0.548,0.665,0.758
Taquaruçu do Sul,2970,3081,Frederico Westphalen,Noroeste,38975.0,128008.93,13122.73,41669.57,0.435,0.588,0.739
Tio Hugo,2724,3078,Não-Me-Toque,Noroeste,54105.0,112827.56,19862.23,37236.82,0.428,0.595,0.742
Pinto Bandeira,,3068,Caxias do Sul,Nordeste,,57446.57,,19129.73,,,
Vitória das Missões,3485,3052,Santo Ângelo,Noroeste,41305.0,96830.25,11852.36,30906.56,0.432,0.556,0.655
Westfália,2793,3046,Lajeado-Estrela,Centro Oriental,67026.0,184658.73,23997.78,61267.0,0.564,0.68,0.752
Alto Feliz,2908,3043,Montenegro,Metropolitana,36097.0,119778.97,12413.15,39557.12,0.5,0.64,0.734
Herveiras,2954,3019,Santa Cruz do Sul,Centro Oriental,34770.0,55510.24,11770.35,18393.05,0.299,0.441,0.616
Dilermando de Aguiar,3064,2991,Santa Maria,Centro Ocidental,53182.0,144126.65,17356.99,47819.06,0.411,0.558,0.648
Erebango,2970,2978,Erechim,Noroeste,46476.0,123425.69,15648.48,41265.69,0.459,0.606,0.712
Presidente Lucena,2485,2972,Gramado-Canela,Metropolitana,35205.0,165355.87,14167.1,56999.61,0.455,0.621,0.757
Arroio do Padre,2730,2966,Pelotas,Sudeste,27190.0,56784.28,9959.71,19334.11,0.319,0.56,0.669
Mampituba,2997,2965,Osório,Metropolitana,24519.0,59107.78,8181.12,19828.17,0.372,0.518,0.649
Dona Francisca,3401,2958,Restinga Seca,Centro Ocidental,36876.0,76373.93,10842.83,25114.74,0.479,0.605,0.697
São Pedro do Butiá,2873,2950,Cerro Largo,Noroeste,49810.0,111739.36,17337.22,37916.31,0.553,0.666,0.763
Lagoa Bonita do Sul,2662,2939,Santa Cruz do Sul,Centro Oriental,29701.0,57274.38,11157.3,19729.38,0.339,0.533,0.67
Morrinhos do Sul,3185,2891,Osório,Metropolitana,35750.0,57859.9,11224.56,19620.18,0.397,0.593,0.711
Sede Nova,3011,2875,Três Passos,Noroeste,49861.0,118325.94,16559.72,40703.8,0.451,0.571,0.712
Centenário,2967,2865,Erechim,Noroeste,31709.0,83040.44,10687.21,28723.78,0.39,0.545,0.701
Vista Gaúcha,2759,2858,Três Passos,Noroeste,36629.0,72247.66,13276.35,25341.16,0.461,0.619,0.757
Garruchos,3233,2851,Campanha Ocidental,Sudoeste,60232.0,133679.2,18630.46,45717.92,0.252,0.549,0.671
Esperança do Sul,3272,2846,Três Passos,Noroeste,35742.0,82389.52,10923.64,28157.73,0.398,0.498,0.661
Cristal do Sul,2826,2840,Frederico Westphalen,Noroeste,30002.0,66115.61,10616.42,23222.91,0.315,0.516,0.66
Victor Graeff,3036,2840,Não-Me-Toque,Noroeste,73928.0,166454.56,24350.4,57756.61,0.516,0.664,0.777
São Jorge,2774,2808,Guaporé,Nordeste,43726.0,90077.74,15762.72,31897.22,0.506,0.629,0.732
Quevedos,2710,2793,Santiago,Centro Ocidental,58505.0,168912.18,21588.5,60585.43,0.343,0.491,0.665
Boa Vista do Sul,2778,2773,Caxias do Sul,Nordeste,43793.0,86941.37,15764.25,31240.16,0.491,0.655,0.728
Capitão,2636,2770,Lajeado-Estrela,Centro Oriental,35820.0,76519.57,13588.83,27754.65,0.398,0.614,0.746
Senador Salgado Filho,2814,2761,Santo Ângelo,Noroeste,43134.0,93199.95,15328.22,33537.23,0.393,0.59,0.693
Toropi,2952,2753,Santa Maria,Centro Ocidental,32495.0,69856.84,11007.95,24895.52,0.368,0.52,0.683
Camargo,2591,2750,Passo Fundo,Noroeste,52327.0,167906.07,20195.55,61436.54,0.457,0.661,0.736
Fagundes Varela,2579,2750,Caxias do Sul,Nordeste,40801.0,88334.08,15820.53,32344.96,0.473,0.633,0.763
Salvador das Missões,2669,2734,Cerro Largo,Noroeste,59579.0,135111.56,22322.59,49437.09,0.518,0.655,0.753
São Valério do Sul,2647,2732,Ijuí,Noroeste,27286.0,58751.88,10308.38,21544.51,0.431,0.532,0.642
Coxilha,2826,2731,Passo Fundo,Noroeste,96160.0,220346.1,34026.72,79951.42,0.415,0.594,0.706
Vista Alegre,2832,2726,Frederico Westphalen,Noroeste,39384.0,94228.38,13906.79,34239.96,0.452,0.632,0.739
Entre Rios do Sul,3080,2724,Erechim,Noroeste,308157.0,222559.22,100050.88,79713.19,0.382,0.595,0.703
Derrubadas,3190,2718,Três Passos,Noroeste,44273.0,96426.95,13878.73,34376.81,0.361,0.573,0.707
Jacuizinho,2507,2718,Cruz Alta,Noroeste,38898.0,116542.11,15515.93,43292.02,0.344,0.466,0.662
Maratá,2527,2713,Montenegro,Metropolitana,53775.0,76739.27,21280.08,28517.01,0.474,0.591,0.697
Nova Candelária,2751,2677,Três Passos,Noroeste,63604.0,165542.04,23120.2,61357.32,0.385,0.603,0.759
Três Forquilhas,2912,2643,Osório,Metropolitana,27446.0,58031.23,9425.06,21516.96,0.378,0.541,0.662
Boa Vista do Incra,2425,2628,Cruz Alta,Noroeste,72654.0,171969.34,29960.3,66065.82,0.486,0.643,0.731
Três Arroios,2855,2620,Erechim,Noroeste,38522.0,96436.67,13492.97,36145.68,0.482,0.637,0.791
Sagrada Família,2595,2601,Carazinho,Noroeste,25367.0,62337.58,9775.44,23893.28,0.327,0.541,0.678
Saldanha Marinho,2869,2596,Cruz Alta,Noroeste,64711.0,151579.49,22555.2,57199.81,0.508,0.689,0.762
Santa Margarida do Sul,2352,2593,Campanha Central,Sudoeste,91181.0,184221.81,38767.43,71905.47,0.426,0.526,0.663
Pinhal,2515,2581,Carazinho,Noroeste,35759.0,85320.95,14218.32,33082.96,0.403,0.628,0.72
Rio dos Índios,3616,2571,Frederico Westphalen,Noroeste,39770.0,87089.35,10998.46,31645.84,0.327,0.512,0.656
Lajeado do Bugre,2487,2569,Carazinho,Noroeste,23662.0,55431.83,9514.09,21619.28,0.233,0.504,0.613
Barra Funda,2367,2563,Carazinho,Noroeste,73415.0,131846.58,31016.16,51928.55,0.501,0.666,0.763
Nova Pádua,2445,2563,Caxias do Sul,Nordeste,39163.0,71255.18,16017.64,27910.37,0.525,0.688,0.761
Mato Castelhano,2470,2543,Passo Fundo,Noroeste,52401.0,94006.55,21215.09,37010.45,0.434,0.665,0.727
São João do Polêsine,2635,2535,Restinga Seca,Centro Ocidental,29942.0,87156.46,11363.18,34152.22,0.499,0.686,0.748
Coronel Barros,2459,2521,Ijuí,Noroeste,46138.0,125302.34,18762.81,49742.89,0.451,0.612,0.744
Dom Pedro de Alcântara,2550,2520,Osório,Metropolitana,42203.0,58980.64,16550.03,23275.71,0.395,0.572,0.691
Monte Belo do Sul,2670,2514,Caxias do Sul,Nordeste,74077.0,74271.53,27744.01,29148.95,0.498,0.629,0.752
São José das Missões,2720,2491,Carazinho,Noroeste,30873.0,61502.78,11350.49,24242.32,0.326,0.54,0.651
Boa Vista do Cadeado,2441,2466,Cruz Alta,Noroeste,93827.0,251620.14,38437.75,101870.5,0.411,0.585,0.703
Colinas,2420,2466,Lajeado-Estrela,Centro Oriental,34201.0,65607.68,14132.77,26910.45,0.535,0.625,0.765
São José do Sul,2082,2464,Montenegro,Metropolitana,30467.0,65408.16,14633.55,27162.86,0.416,0.576,0.725
Forquetinha,2473,2389,Lajeado-Estrela,Centro Oriental,38520.0,46151.27,15576.38,19134.03,0.467,0.553,0.683
Itati,2589,2377,Osório,Metropolitana,34599.0,76101.08,13363.67,31459.73,0.397,0.554,0.669
Silveira Martins,2452,2365,Restinga Seca,Centro Ocidental,25083.0,59026.88,10229.64,24759.6,0.502,0.652,0.742
Porto Mauá,2544,2332,Santa Rosa,Noroeste,27848.0,64929.06,10946.54,27350.07,0.474,0.593,0.698
Dezesseis de Novembro,2866,2331,Santo Ângelo,Noroeste,23041.0,43125.51,8039.35,17769.06,0.408,0.529,0.654
Travesseiro,2314,2331,Lajeado-Estrela,Centro Oriental,44431.0,61530.94,19201.0,26340.3,0.44,0.569,0.701
Eugênio de Castro,2797,2310,Santo Ângelo,Noroeste,91912.0,210951.12,32861.0,88043.04,0.469,0.621,0.712
Unistalda,2453,2306,Santiago,Centro Ocidental,29289.0,72199.69,11940.27,30880.96,0.376,0.552,0.649
Paulo Bento,2196,2303,Erechim,Noroeste,46621.0,102861.09,21229.79,44858.74,0.407,0.608,0.71
São Vendelino,1944,2288,Montenegro,Metropolitana,32137.0,87940.44,16531.63,39206.62,0.509,0.655,0.754
Santo Expedito do Sul,2461,2287,Sananduva,Noroeste,34997.0,73893.84,14220.66,31795.97,0.379,0.627,0.732
Cerro Grande,2417,2281,Carazinho,Noroeste,28000.0,55883.62,11584.75,24181.58,0.388,0.557,0.674
Rolador,2546,2270,Santo Ângelo,Noroeste,44485.0,105953.02,17472.49,45610.42,0.366,0.583,0.689
Coqueiros do Sul,2457,2267,Carazinho,Noroeste,54683.0,108687.99,22256.09,47132.69,0.422,0.601,0.746
Faxinalzinho,2567,2256,Erechim,Noroeste,28685.0,61133.61,11174.38,26407.61,0.408,0.574,0.666
São Valentim do Sul,2168,2248,Guaporé,Nordeste,38531.0,60817.4,17772.37,27126.41,0.502,0.671,0.764
Inhacorá,2267,2207,Ijuí,Noroeste,31648.0,68317.39,13960.47,30690.65,0.369,0.554,0.673
Pirapó,2757,2205,Santo Ângelo,Noroeste,28364.0,65373.85,10288.06,28374.07,0.391,0.531,0.669
Nova Ramada,2437,2195,Ijuí,Noroeste,48522.0,144852.69,19910.66,64608.69,0.416,0.576,0.742
Novo Tiradentes,2277,2189,Frederico Westphalen,Noroeste,25033.0,52360.62,10993.7,23681.87,0.406,0.538,0.676
Vanini,1984,2130,Passo Fundo,Noroeste,30731.0,64539.6,15489.55,30544.06,0.563,0.673,0.757
Santo Antônio do Palma,2139,2118,Passo Fundo,Noroeste,35973.0,74847.31,16817.61,35172.61,0.453,0.667,0.764
Poço das Antas,2017,2105,Montenegro,Metropolitana,26794.0,94505.83,13284.07,45045.68,0.489,0.645,0.744
Bozano,2200,2099,Ijuí,Noroeste,38632.0,131081.9,17560.01,61743.71,0.447,0.615,0.745
Boa Vista das Missões,2114,2087,Carazinho,Noroeste,74989.0,147387.32,35472.58,70251.35,0.34,0.605,0.676
Vila Lângaro,2152,2070,Passo Fundo,Noroeste,43271.0,107801.9,20107.4,51555.19,0.412,0.616,0.705
Relvado,2155,2068,Lajeado-Estrela,Centro Oriental,30884.0,53599.75,14331.52,25645.81,0.406,0.588,0.731
São José do Inhacorá,2200,2040,Santa Rosa,Noroeste,37786.0,106788.46,17175.5,51513.97,0.441,0.602,0.747
Itapuca,2337,2037,Guaporé,Nordeste,29266.0,59161.49,12522.81,28252.86,0.377,0.495,0.664
Gramado dos Loureiros,2269,2036,Frederico Westphalen,Noroeste,23739.0,57142.64,10462.52,27446.03,0.336,0.573,0.685
São Pedro das Missões,1886,2025,Carazinho,Noroeste,24120.0,71413.2,12788.91,35546.64,0.398,0.471,0.664
Santo Antônio do Planalto,1987,2018,Carazinho,Noroeste,53061.0,112621.77,26704.22,55780.97,0.51,0.693,0.759
Dois Irmãos das Missões,2157,1992,Frederico Westphalen,Noroeste,56592.0,115139.07,26236.62,56830.73,0.363,0.559,0.67
Mariano Moro,2210,1987,Erechim,Noroeste,25666.0,54807.18,11613.56,26985.32,0.483,0.656,0.73
Doutor Ricardo,2030,1967,Lajeado Estrela,Centro Oriental,30806.0,54932.71,15175.21,27701.82,0.405,0.575,0.724
Ubiretama,2296,1952,Santo Ângelo,Noroeste,28613.0,65642.16,12461.99,32576.75,0.432,0.554,0.7
