Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes,PIB_2010,PIB_2019,PIB_per_capita_2010,PIB_per_capita_2019,IDH_1991,IDH_2000,IDH_2010
São Lourenço do Sul,43114,43501,Pelotas,Sudeste,485235.0,1266139.29,11254.69,29051.89,0.469,0.589,0.687
Santo Antônio da Patrulha,39679,43397,Osório,Metropolitana,573106.0,1441182.42,14443.56,33598.69,0.508,0.62,0.717
Eldorado do Sul,34335,42490,Porto Alegre,Metropolitana,682532.0,2179267.63,19878.6,52785.94,0.48,0.62,0.717
Charqueadas,35363,41705,São Jerônimo,Metropolitana,885720.0,1376933.22,25046.53,33757.46,0.551,0.649,0.747
Torres,34646,39381,Osório,Metropolitana,505242.0,1265562.89,14582.99,32674.87,0.538,0.681,0.762
Rosário do Sul,39751,39210,Campanha Central,Sudoeste,521125.0,929896.65,13109.73,23588.27,0.496,0.616,0.699
Rio Pardo,37602,38257,Cachoeira do Sul,Centro Oriental,439146.0,977676.43,11678.78,25543.47,0.482,0.609,0.693
Dom Pedrito,38916,38222,Campanha Meridional,Sudoeste,622455.0,1345518.43,15994.83,34983.97,0.515,0.621,0.708
Portão,30881,38081,Montenegro,Metropolitana,761657.0,1265142.54,24664.26,34120.19,0.453,0.618,0.713
Igrejinha,31663,37754,Gramado-Canela,Metropolitana,1020677.0,1947198.0,32235.64,52771.02,0.481,0.603,0.721
Itaqui,38166,37363,Campanha Ocidental,Sudoeste,685710.0,1400822.71,17966.51,37236.12,0.504,0.63,0.713
Gramado,32300,36864,Gramado-Canela,Metropolitana,904020.0,2257904.46,27988.22,62317.96,0.546,0.698,0.764
Garibaldi,30692,35794,Caxias do Sul,Nordeste,1013878.0,2383541.24,33033.96,67965.25,0.575,0.712,0.786
Estrela,30628,34669,Lajeado-Estrela,Centro Oriental,854165.0,1643503.97,27888.36,48173.99,0.564,0.676,0.767
Teutônia,27265,34275,Lajeado Estrela,Centro Oriental,697408.0,1532249.28,25578.89,46107.65,0.535,0.664,0.747
Dois Irmãos,27572,33547,Gramado-Canela,Metropolitana,947058.0,2089234.45,34348.55,63947.67,0.535,0.676,0.743
Caçapava do Sul,33700,33476,Serras de Sudeste,Sudeste,406800.0,864995.69,12071.22,25725.54,0.494,0.599,0.704
São Luiz Gonzaga,34558,33124,Santo Ângelo,Noroeste,522978.0,1429921.95,15133.33,42725.05,0.52,0.634,0.741
Palmeira das Missões,34328,32967,Carazinho,Noroeste,642628.0,1488542.88,18716.4,44696.96,0.5,0.635,0.737
Frederico Westphalen,28848,31675,Frederico Westphalen,Noroeste,620513.0,1232871.29,21509.75,39372.51,0.536,0.683,0.76
Candelária,30176,31475,Santa Cruz do Sul,Centro Oriental,383562.0,849669.53,12710.84,27089.73,0.428,0.561,0.674
Flores da Cunha,27135,31352,Caxias do Sul,Nordeste,746720.0,1854236.98,27518.71,60310.2,0.523,0.674,0.754
Soledade,30065,31067,Soledade,Noroeste,363255.0,945727.65,12082.31,30505.38,0.522,0.633,0.731
Carlos Barbosa,25193,30630,Caxias do Sul,Nordeste,1010717.0,2773584.94,40118.94,92970.37,0.553,0.724,0.796
Nova Santa Rita,22706,30482,Porto Alegre,Metropolitana,524361.0,1815678.09,23093.49,61968.54,0.455,0.609,0.718
Triunfo,25811,30159,São Jerônimo,Metropolitana,5670541.0,8372534.89,219694.74,283449.62,0.492,0.628,0.733
Santa Vitória do Palmar,31002,29298,Litoral Lagunar,Sudeste,450869.0,1248170.22,14543.23,42059.92,0.501,0.626,0.712
Três Coroas,23855,28948,Gramado-Canela,Metropolitana,720061.0,894292.21,30184.89,31690.01,0.478,0.61,0.71
Nova Prata,22830,28021,Guaporé,Nordeste,691969.0,1304095.58,30309.64,47844.43,0.586,0.689,0.766
São José do Norte,25523,27866,Litoral Lagunar,Sudeste,205442.0,424082.59,8049.29,15383.15,0.36,0.481,0.623
Lagoa Vermelha,27529,27751,Vacaria,Nordeste,548331.0,1145823.69,19918.31,41206.3,0.52,0.65,0.738
Vera Cruz,23986,27325,Santa Cruz do Sul,Centro Oriental,388823.0,700594.94,16210.43,26080.29,0.456,0.582,0.737
Taquari,26138,26907,Lajeado-Estrela,Centro Oriental,424905.0,827471.18,16258.1,30804.53,0.498,0.641,0.733
Veranópolis,22815,26813,Caxias do Sul,Nordeste,612325.0,1548836.19,26838.68,59023.52,0.6,0.702,0.773
Jaguarão,27942,26327,Jaguarão,Sudeste,328128.0,704574.59,11743.2,26408.34,0.512,0.62,0.707
Guaporé,22810,26199,Guaporé,Nordeste,426315.0,949265.81,18689.81,36897.65,0.553,0.67,0.765
São Sebastião do Caí,21944,26161,Montenegro,Metropolitana,389760.0,718205.45,17761.59,27962.06,0.552,0.662,0.739
Encruzilhada do Sul,24537,26039,Serras de Sudeste,Sudeste,224790.0,604809.22,9161.27,23372.46,0.431,0.551,0.657
Capão do Leão,24294,25462,Pelotas,Sudeste,272056.0,550615.38,11198.47,21717.1,0.413,0.542,0.637
Ivoti,19877,25068,Gramado-Canela,Metropolitana,507997.0,990156.18,25557.03,40758.91,0.551,0.697,0.784
Sarandi,22623,25024,Carazinho,Noroeste,449684.0,1002035.41,21100.02,40917.78,0.535,0.677,0.777
Tapejara,19252,24973,Passo Fundo,Noroeste,429588.0,1240738.26,22313.95,51459.43,0.49,0.66,0.76
São Jerônimo,22141,24569,São Jerônimo,Metropolitana,346806.0,610370.41,15663.51,25171.99,0.478,0.609,0.696
Tupanciretã,22286,24182,Santiago,Centro Ocidental,535175.0,1207656.6,24013.94,50428.29,0.512,0.612,0.709
Três de Maio,23726,23846,Santa Rosa,Noroeste,408324.0,1110401.86,17209.97,46448.67,0.533,0.655,0.759
Três Passos,23973,23799,Três Passos,Noroeste,380637.0,919377.9,15877.75,38458.04,0.523,0.686,0.768
Imbé,17667,23721,Osório,Metropolitana,251066.0,508391.53,14211.0,22297.87,0.547,0.677,0.764
São Sepé,23798,23492,Santa Maria,Centro Ocidental,328887.0,903329.14,13819.94,38242.63,0.506,0.614,0.708
Encantado,20514,23047,Lajeado-Estrela,Centro Oriental,438226.0,951619.08,21362.31,41910.47,0.603,0.7,0.767
Quaraí,23021,22531,Campanha Ocidental,Sudoeste,241715.0,480145.43,10499.74,21163.9,0.542,0.63,0.704
Nova Hartz,18346,22147,Porto Alegre,Metropolitana,580508.0,686481.37,31642.2,31759.49,0.436,0.578,0.689
São Francisco de Paula,20570,21871,Vacaria,Nordeste,326081.0,724559.84,15875.41,33374.47,0.464,0.592,0.685
São Marcos,20105,21756,Caxias do Sul,Nordeste,408329.0,999315.02,20309.84,46359.02,0.555,0.695,0.768
Nova Petrópolis,19058,21717,Gramado-Canela,Metropolitana,401985.0,855127.07,21092.7,40047.16,0.589,0.697,0.78
Rolante,19493,21591,Gramado-Canela,Metropolitana,297375.0,653522.39,15255.5,30611.38,0.444,0.595,0.688
Arroio do Meio,18783,21121,Lajeado-Estrela,Centro Oriental,515080.0,1252121.3,27422.65,60183.67,0.557,0.69,0.769
