Edicao,Ano,Primeiro,Segundo,Terceiro,Quarto,Artilheiro,N_de_gols,Cidade_Primeiro,Cidade_Segundo,Cidade_Terceiro,Cidade_Quarto
82,2002,Internacional,15 de Novembro,Juventude,Pelotas,Sandro Sotilli15 de Novembro,21,Porto Alegre,Campo Bom,Caxias do Sul,Pelotas
83,2003,Internacional,15 de Novembro,Juventude,São Gabriel,FlávioPelotas,18,Porto Alegre,Campo Bom,Caxias do Sul,São Gabriel
84,2004,Internacional,Canoas,Glória,Grêmio,Sandro SotilliGlória,27,Porto Alegre,Canoas,,Porto Alegre
85,2005,Internacional,15 de Novembro,Glória,Grêmio,FelipePasso Fundo,10,Porto Alegre,Campo Bom,,Porto Alegre
86,2006,Grêmio,Internacional,Juventude,Caxias,GiancarloNovo Hamburgo,14,Porto Alegre,Porto Alegre,Caxias do Sul,Caxias do Sul
87,2007,Grêmio,Juventude,Veranópolis,Caxias,Vítor HugoVeranópolis,13,Porto Alegre,Caxias do Sul,Veranópolis,Caxias do Sul
88,2008,Internacional,Juventude,Inter SM,Caxias,Alex/MendesInternacional/Juventude,13,Porto Alegre,Caxias do Sul,Santa Maria,Caxias do Sul
89,2009,Internacional,Grêmio,Ypiranga,Veranópolis,TaisonInternacional,15,Porto Alegre,Porto Alegre,Erechim,Veranópolis
90,2010,Grêmio,Internacional,Caxias,São José,JeffersonSão José-RS,13,Porto Alegre,Porto Alegre,Caxias do Sul,Porto Alegre
91,2011,Internacional,Grêmio,Juventude,Cruzeiro,Leandro DamiãoInternacional,17,Porto Alegre,Porto Alegre,Caxias do Sul,Cachoeirinha
92,2012,Internacional,Caxias,Grêmio,Veranópolis,Leandro DamiãoInternacional,11,Porto Alegre,Caxias do Sul,Porto Alegre,Veranópolis
93,2013,Internacional,Lajeadense,São Luiz,Grêmio,Diego ForlánInternacional,9,Porto Alegre,Lajeado,Ijuí,Porto Alegre
94,2014,Internacional,Grêmio,Brasil de Pelotas,Caxias,Hernán BarcosGrêmio,13,Porto Alegre,Porto Alegre,Pelotas,Caxias do Sul
95,2015,Internacional,Grêmio,Brasil de Pelotas,Juventude,MichelPasso Fundo,11,Porto Alegre,Porto Alegre,Pelotas,Caxias do Sul
96,2016,Internacional,Juventude,Grêmio,São José,HeliardoSão José-RS,8,Porto Alegre,Caxias do Sul,Porto Alegre,Porto Alegre
97,2017,Novo Hamburgo,Internacional,Caxias,Grêmio,Brenner/Miller Bolaños Internacional/Grêmio ,7,Novo Hamburgo,Porto Alegre,Caxias do Sul,Porto Alegre
98,2018,Grêmio,Brasil de Pelotas,São José,Avenida,Michel  São Luiz,8,Porto Alegre,Pelotas,Porto Alegre,Santa Cruz do Sul
99,2019,Grêmio,Internacional,Caxias,São Luiz,Marcão/Rafael Gava São Luiz/Caxias ,6,Porto Alegre,Porto Alegre,Caxias do Sul,Ijuí
100,2020,Grêmio,Caxias,Internacional,Esportivo,Diego Souza Grêmio,9,Porto Alegre,Caxias do Sul,Porto Alegre,Bento Gonçalves
101,2021,Grêmio,Internacional,Juventude,Caxias,Diego Souza Grêmio,7,Porto Alegre,Porto Alegre,Caxias do Sul,Caxias do Sul
102,2022,Grêmio,Ypiranga,Internacional,Brasil de Pelotas,ErickYpiranga de Erechim,6,Porto Alegre,Erechim,Porto Alegre,Pelotas
