Edicao,Ano,Primeiro,Segundo,Terceiro,Quarto,Artilheiro,N_de_gols
54ª,1974(detalhes), Internacional  (22), Grêmio, Atlético Carazinho, Caxias,EscurinhoInternacional,11
55ª,1975(detalhes), Internacional (23), Grêmio, Santa Cruz, Caxias,Tarciso/BebetoGrêmio/Gaúcho,13
56ª,1976(detalhes), Internacional (24), Grêmio, Esportivo, Caxias,AlcindoGrêmio,17
57ª,1977(detalhes), Grêmio (20), Internacional, Caxias, Juventude,Flávio/Luís FreirePelotas/Esportivo,13
58ª,1978(detalhes), Internacional (25), Grêmio, Caxias, Esportivo,Valdomiro/JairInternacional,15
59ª,1979(detalhes), Grêmio (21), Esportivo, Internacional, São Paulo-RS,JairInternacional,24
60ª,1980(detalhes), Grêmio (22), Internacional, Inter de Santa Maria, Novo Hamburgo,BaltazarGrêmio,28
61ª,1981(detalhes), Internacional (26), Grêmio, Inter de Santa Maria, Novo Hamburgo,BaltazarGrêmio,20
62ª,1982(detalhes), Internacional (27), Grêmio, Esportivo, Novo Hamburgo,GeraldãoInternacional,20
63ª,1983(detalhes), Internacional (28), Brasil de Pelotas, Grêmio, Juventude,KitaJuventude,15
64ª,1984(detalhes), Internacional (29), Grêmio, Brasil de Pelotas, Novo Hamburgo,Ademir AlcântaraPelotas,21
65ª,1985(detalhes), Grêmio (23), Internacional, Caxias, Novo Hamburgo,Caio Júnior/TitaGrêmio/Internacional,12
66ª,1986(detalhes), Grêmio (24), Internacional, Juventude, Novo Hamburgo,BalaloInternacional,14
67ª,1987(detalhes), Grêmio (25), Internacional, Esportivo, Caxias,AmarildoInternacional,17
68ª,1988(detalhes), Grêmio (26), Internacional, Pelotas, Santa Cruz,LimaGrêmio,10
69ª,1989(detalhes), Grêmio (27), Internacional, Caxias, Glória,CaioJuventude,10
70ª,1990(detalhes), Grêmio (28), Caxias, Internacional, Juventude,NílsonGrêmio,22
71ª,1991(detalhes), Internacional (30), Grêmio, Juventude, Lajeadense,GélsonLajeadense,17
72ª,1992(detalhes), Internacional (31), Grêmio, Pelotas, Caxias,GílsonBrasil de Pelotas,13
73ª,1993(detalhes), Grêmio (29), Internacional, Juventude, Pelotas,MauroGrêmio Santanense,19
74ª,1994(detalhes), Internacional (32), Juventude, Ypiranga de Erechim, Glória,Paulo GaúchoYpiranga de Erechim,24
75ª,1995(detalhes), Grêmio (30), Internacional, Juventude, São Luiz,AiltonYpiranga de Erechim,16
76ª,1996(detalhes), Grêmio (31), Juventude, Santo Ângelo, Internacional,Sandro PiresYpiranga de Erechim,16
77ª,1997(detalhes), Internacional (33), Grêmio, Veranópolis, Brasil de Pelotas,Marcus ViníciusGuarani-VA,27
78ª,1998(detalhes), Juventude (1), Internacional, Brasil de Pelotas, Veranópolis,BadicoInternacional-SM,17
79ª,1999(detalhes), Grêmio (32), Internacional, Veranópolis, Juventude,Ronaldinho GaúchoGrêmio,15
80ª,2000(detalhes), Caxias (1), Grêmio, Internacional, Juventude,FelipePasso Fundo,13
81ª,2001(detalhes), Grêmio (33), Juventude, Pelotas, Internacional,ChiquinhoSão José-RS,15
82ª,2002(detalhes), Internacional (34), 15 de Novembro, Juventude, Pelotas,Sandro Sotilli15 de Novembro,21
83ª,2003(detalhes), Internacional (35), 15 de Novembro, Juventude, São Gabriel,FlávioPelotas,18
84ª,2004(detalhes), Internacional (36), Canoas[c], Glória, Grêmio,Sandro SotilliGlória,27
85ª,2005(detalhes), Internacional (37), 15 de Novembro, Glória, Grêmio,FelipePasso Fundo,10
86ª,2006(detalhes), Grêmio (34), Internacional, Juventude, Caxias,GiancarloNovo Hamburgo,14
87ª,2007(detalhes), Grêmio (35), Juventude, Veranópolis, Caxias,Vítor HugoVeranópolis,13
88ª,2008(detalhes), Internacional (38), Juventude, Inter de Santa Maria, Caxias,Alex/MendesInternacional/Juventude,13
89ª,2009(detalhes), Internacional  (39), Grêmio, Ypiranga de Erechim, Veranópolis,TaisonInternacional,15
90ª,2010(detalhes), Grêmio (36), Internacional, Caxias, São José-RS,JeffersonSão José-RS,13
91ª,2011(detalhes), Internacional (40), Grêmio, Juventude, Cruzeiro-RS [d],Leandro DamiãoInternacional,17
92ª,2012(detalhes), Internacional (41), Caxias, Grêmio, Veranópolis,Leandro DamiãoInternacional,11
93ª,2013(detalhes), Internacional (42), Lajeadense, São Luiz, Grêmio,Diego ForlánInternacional,9
94ª,2014(detalhes), Internacional (43), Grêmio, Brasil de Pelotas, Caxias,Hernán BarcosGrêmio,13
95ª,2015(detalhes), Internacional (44), Grêmio, Brasil de Pelotas, Juventude,MichelPasso Fundo,11
96ª,2016(detalhes), Internacional (45), Juventude, Grêmio, São José-RS,HeliardoSão José-RS,8
97ª,2017(detalhes), Novo Hamburgo (1), Internacional, Caxias, Grêmio,Brenner/Miller Bolaños Internacional/Grêmio ,7
98ª,2018(detalhes), Grêmio (37), Brasil de Pelotas, São José-RS, Avenida,Michel  São Luiz,8
99ª,2019(detalhes), Grêmio  (38), Internacional, Caxias, São Luiz,Marcão/Rafael Gava São Luiz/Caxias ,6
100ª,2020(detalhes), Grêmio (39), Caxias, Internacional, Esportivo,Diego Souza Grêmio,9
101ª,2021(detalhes), Grêmio (40), Internacional, Juventude, Caxias,Diego Souza Grêmio,7
102ª,2022(detalhes), Grêmio (41), Ypiranga de Erechim, Internacional, Brasil de Pelotas,ErickYpiranga de Erechim,6
