Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes
 Coxilha,2 826,2 731,Passo Fundo,Noroeste
 Vista Alegre,2 832,2 726,Frederico Westphalen,Noroeste
 Entre Rios do Sul,3 080,2 724,Erechim,Noroeste
 Derrubadas,3 190,2 718,Três Passos,Noroeste
 Jacuizinho,2 507,2 718,Cruz Alta,Noroeste
 Maratá,2 527,2 713,Montenegro,Metropolitana
 Nova Candelária,2 751,2 677,Três Passos,Noroeste
 Três Forquilhas,2 912,2 643,Osório,Metropolitana
Boa Vista do Incra,2 425,2 628,Cruz Alta,Noroeste
 Três Arroios,2 855,2 620,Erechim,Noroeste
Sagrada Família,2 595,2 601,Carazinho,Noroeste
 Saldanha Marinho,2 869,2 596,Cruz Alta,Noroeste
Santa Margarida do Sul,2 352,2 593,Campanha Central,Sudoeste
 Pinhal,2 515,2 581,Carazinho,Noroeste
Rio dos Índios,3 616,2 571,Frederico Westphalen,Noroeste
 Lajeado do Bugre,2 487,2 569,Carazinho,Noroeste
 Barra Funda,2 367,2 563,Carazinho,Noroeste
 Nova Pádua,2 445,2 563,Caxias do Sul,Nordeste
Mato Castelhano,2 470,2 543,Passo Fundo,Noroeste
 São João do Polêsine,2 635,2 535,Restinga Seca,Centro Ocidental
Coronel Barros,2 459,2 521,Ijuí,Noroeste
 Dom Pedro de Alcântara,2 550,2 520,Osório,Metropolitana
 Monte Belo do Sul,2 670,2 514,Caxias do Sul,Nordeste
São José das Missões,2 720,2 491,Carazinho,Noroeste
 Boa Vista do Cadeado,2 441,2 466,Cruz Alta,Noroeste
 Colinas,2 420,2 466,Lajeado-Estrela,Centro Oriental
 São José do Sul,2 082,2 464,Montenegro,Metropolitana
 Forquetinha,2 473,2 389,Lajeado-Estrela,Centro Oriental
Itati,2 589,2 377,Osório,Metropolitana
 Silveira Martins,2 452,2 365,Restinga Seca,Centro Ocidental
 Porto Mauá,2 544,2 332,Santa Rosa,Noroeste
 Dezesseis de Novembro,2 866,2 331,Santo Ângelo,Noroeste
 Travesseiro,2 314,2 331,Lajeado-Estrela,Centro Oriental
 Eugênio de Castro,2 797,2 310,Santo Ângelo,Noroeste
Unistalda,2 453,2 306,Santiago,Centro Ocidental
Paulo Bento,2 196,2 303,Erechim,Noroeste
 São Vendelino,1 944,2 288,Montenegro,Metropolitana
 Santo Expedito do Sul,2 461,2 287,Sananduva,Noroeste
Cerro Grande,2 417,2 281,Carazinho,Noroeste
 Rolador,2 546,2 270,Santo Ângelo,Noroeste
 Coqueiros do Sul,2 457,2 267,Carazinho,Noroeste
 Faxinalzinho,2 567,2 256,Erechim,Noroeste
 São Valentim do Sul,2 168,2 248,Guaporé,Nordeste
Inhacorá,2 267,2 207,Ijuí,Noroeste
Pirapó,2 757,2 205,Santo Ângelo,Noroeste
Nova Ramada,2 437,2 195,Ijuí,Noroeste
Novo Tiradentes,2 277,2 189,Frederico Westphalen,Noroeste
Vanini,1 984,2 130,Passo Fundo,Noroeste
Santo Antônio do Palma,2 139,2 118,Passo Fundo,Noroeste
Poço das Antas,2 017,2 105,Montenegro,Metropolitana
 Bozano,2 200,2 099,Ijuí,Noroeste
 Boa Vista das Missões,2 114,2 087,Carazinho,Noroeste
 Vila Lângaro,2 152,2 070,Passo Fundo,Noroeste
