"Posição","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"1","IDH","Três Passos","0.523","0.686","0.768","",""
"1","IDH","Trindade do Sul","0.378","0.561","0.687","",""
"1","IDH","Triunfo","0.492","0.628","0.733","",""
"1","IDH","Tucunduva","0.562","0.661","0.747","",""
"1","IDH","Tunas","0.319","0.484","0.657","",""
"1","IDH","Tupanci do Sul","0.401","0.570","0.694","",""
"1","IDH","Tupanciretã","0.512","0.612","0.709","",""
"1","IDH","Tupandi","0.405","0.654","0.718","",""
"1","IDH","Tuparendi","0.495","0.642","0.728","",""
"1","IDH","Turuçu","0.352","0.528","0.629","",""
"1","IDH","Ubiretama","0.432","0.554","0.700","",""
"1","IDH","União da Serra","0.401","0.664","0.733","",""
"1","IDH","Unistalda","0.376","0.552","0.649","",""
"1","IDH","Uruguaiana","0.550","0.663","0.744","",""
"1","IDH","Vacaria","0.535","0.641","0.721","",""
"1","IDH","Vale Verde","0.403","0.549","0.646","",""
"1","IDH","Vale do Sol","0.335","0.496","0.624","",""
"1","IDH","Vale Real","0.451","0.604","0.737","",""
"1","IDH","Vanini","0.563","0.673","0.757","",""
"1","IDH","Venâncio Aires","0.477","0.610","0.712","",""
"1","IDH","Vera Cruz","0.456","0.582","0.737","",""
"1","IDH","Veranópolis","0.600","0.702","0.773","",""
"1","IDH","Vespasiano Corrêa","0.430","0.639","0.723","",""
"1","IDH","Viadutos","0.417","0.567","0.702","",""
"1","IDH","Viamão","0.511","0.620","0.717","",""
"1","IDH","Vicente Dutra","0.358","0.489","0.638","",""
"1","IDH","Victor Graeff","0.516","0.664","0.777","",""
"1","IDH","Vila Flores","0.563","0.621","0.742","",""
"1","IDH","Vila Lângaro","0.412","0.616","0.705","",""
"1","IDH","Vila Maria","0.464","0.662","0.761","",""
"1","IDH","Vila Nova do Sul","0.379","0.565","0.662","",""
"1","IDH","Vista Alegre","0.452","0.632","0.739","",""
"1","IDH","Vista Alegre do Prata","0.437","0.689","0.780","",""
"1","IDH","Vista Gaúcha","0.461","0.619","0.757","",""
"1","IDH","Vitória das Missões","0.432","0.556","0.655","",""
"1","IDH","Westfália","0.564","0.680","0.752","",""
"1","IDH","Xangri-lá","0.502","0.642","0.735","",""
"1","IDH","Pinto Bandeira","-","-","-","",""


Fonte: Programa das Nações Unidas para o Desenvolvimento - PNUD
