"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Unidade","Multiplicador"
"1.1","Série revisada","Bom Princípio",,,,,,,,,,,,"255594","268434","327312","370920","433351.41","485358.99","513379.92","551039.44","652537.00","713326.35","R$",1000
"1.1","Série revisada","Bossoroca",,,,,,,,,,,,"139996","148973","122804","219263","221604.95","239136.42","294653.37","272261.61","329381.01","324342.18","R$",1000
"1.1","Série revisada","Aratiba",,,,,,,,,,,,"1091182","1136898","843147","879474","606188.46","928129.08","955863.99","879723.31","802056.68","1004171.23","R$",1000
"1.1","Série revisada","Arroio dos Ratos",,,,,,,,,,,,"111366","112588","139892","173981","196527.10","227102.53","231625.70","235707.25","261832.73","268587.25","R$",1000
"1.1","Série revisada","Butiá",,,,,,,,,,,,"260633","279717","270688","329253","372857.78","408596.92","428011.43","431540.51","445252.04","473596.75","R$",1000
"1.1","Série revisada","Cachoeirinha",,,,,,,,,,,,"4248239","4748105","5229386","5672015","6174729.95","5983149.32","5025165.26","5107332.92","5280302.86","5687259.92","R$",1000
"1.1","Série revisada","Augusto Pestana",,,,,,,,,,,,"140599","162538","148479","239473","238214.62","261276.47","297487.06","305652.99","339949.69","320661.29","R$",1000
"1.1","Série revisada","Barão",,,,,,,,,,,,"111632","127718","137527","194036","203822.15","190645.70","170393.06","186358.73","213611.15","257317.29","R$",1000
"1.1","Série revisada","Camaquã",,,,,,,,,,,,"1034395","1105186","1285368","1484685","1651832.65","1718678.98","1916777.79","2019774.42","2013660.85","2181297.68","R$",1000
"1.1","Série revisada","Campina das Missões",,,,,,,,,,,,"68468","79140","78177","103147","107704.09","122473.56","145491.53","147060.49","152465.62","163029.42","R$",1000
"1.1","Série revisada","Campos Borges",,,,,,,,,,,,"51422","50742","47884","77385","73769.57","82518.46","90576.78","86868.06","98164.19","89035.00","R$",1000
"1.1","Série revisada","Canela",,,,,,,,,,,,"508128","538096","678693","721651","810680.76","905583.29","955345.90","1035992.76","1129962.43","1256118.47","R$",1000
"1.1","Série revisada","Capão Bonito do Sul",,,,,,,,,,,,"84105","78934","76415","107376","110320.31","116552.40","137898.25","152236.20","197385.16","191738.38","R$",1000
"1.1","Série revisada","Capivari do Sul",,,,,,,,,,,,"129264","113088","150378","177997","184750.81","201397.51","224582.20","218970.59","208195.25","212050.43","R$",1000
"1.1","Série revisada","Campo Novo",,,,,,,,,,,,"94139","104063","99630","148274","159218.11","177067.74","194963.59","193008.04","209543.87","230863.83","R$",1000
"1.1","Série revisada","Candiota",,,,,,,,,,,,"659547","310791","117389","116696","201722.02","267846.73","464575.56","512373.66","630310.54","649412.55","R$",1000
"1.1","Série revisada","Ametista do Sul",,,,,,,,,,,,"52009","56710","63480","72640","78806.59","87094.50","91003.96","105508.95","120481.31","135199.00","R$",1000
"1.1","Série revisada","Alto Alegre",,,,,,,,,,,,"29527","37278","38227","57987","54312.78","56724.38","66575.41","62759.08","66386.42","61914.47","R$",1000
"1.1","Série revisada","Cândido Godói",,,,,,,,,,,,"125680","125997","119702","164765","186073.51","187186.13","217678.33","219862.85","238083.35","242759.86","R$",1000
"1.1","Série revisada","Canoas",,,,,,,,,,,,"12718014","10605535","9794767","11219230","9986300.07","16245260.98","20133836.12","18883627.23","19218793.55","20630280.14","R$",1000
"1.1","Série revisada","Barra do Quaraí",,,,,,,,,,,,"113516","85623","104423","133991","157716.03","184240.01","175607.48","201992.30","174474.83","171383.09","R$",1000
"1.1","Série revisada","Barão de Cotegipe",,,,,,,,,,,,"100064","105649","103147","145215","171209.50","167810.23","196624.65","208462.23","218640.80","244501.49","R$",1000
"1.1","Série revisada","Alegrete",,,,,,,,,,,,"1064425","1104139","1296335","1515947","1669821.63","1820084.25","1902735.55","2015502.53","2187237.05","2138004.29","R$",1000
"1.1","Série revisada","Água Santa",,,,,,,,,,,,"100548","113699","133553","244117","229992.56","264841.83","268727.04","278780.02","330907.56","324140.44","R$",1000
"1.1","Série revisada","Canudos do Vale",,,,,,,,,,,,"22345","25352","28120","36473","40965.62","40124.43","43872.32","42895.73","43187.41","49434.96","R$",1000
"1.1","Série revisada","Capão do Leão",,,,,,,,,,,,"272056","296884","343636","372841","414971.75","521325.29","498462.43","526625.98","508388.24","550615.38","R$",1000
"1.1","Série revisada","Capão do Cipó",,,,,,,,,,,,"129685","151767","103078","236049","240982.75","242862.87","265036.44","243148.96","322366.64","320739.94","R$",1000
"1.1","Série revisada","Capitão",,,,,,,,,,,,"35820","36984","41080","54476","59320.85","60158.48","60454.10","68802.84","65114.29","76519.57","R$",1000
"1.1","Série revisada","Barra Funda",,,,,,,,,,,,"73415","74746","80837","96422","105759.14","104510.00","116485.13","119223.84","131381.76","131846.58","R$",1000
